Station Name,Latitude,Longitude,Prices
Ather Grid Charging Station,16.31886,80.4215,2.56
LionCharge Charging Station,16.5054,80.64535,2.36
Ather Grid Charging Station,16.50077,80.65063,3.041
Electric Vehicle Charging Station,16.51106,80.6757,2.36
Ather Grid Charging Station,16.32625,80.48987,2.56
Ather Grid Charging Station,16.48133,80.61112,2.56
Electric Vehicle Charging Station,16.55168,80.45584,2.3
Charging Zone Charging Station,17.33339,79.14515,2.36
Tata Power Station,17.1729,80.1564,2.22
Tata Charging Station,17.57923,78.44193,5.23
Charge and Drive Station,17.52023,78.46656,3.25
Vehicle Station,17.42198,78.45146,2.96
Charging Station,17.45212,78.40614,2.96
Electric Vehicle Charging Station,17.4129,78.56544,2.3
Charge and Drive Station,17.45224,78.44178,2.369
Zeon charging ,17.11034,77.94125,2.456
Tata Charging Station,15.5428,78.20943,2.569
Electric Vehicle Charging Station,14.38871,76.45406,3.65
Electric Vehicle Charging Station,15.0254,76.03959,3.256
Ather Grid Charging Station,15.68368,76.45406,3
Bashasab service Center,16.41001,75.96645,3.65
jio-bp pulse charging station,1.33984,76.25902,3.745
GreenDrive Enterprises,17.66872,76.84414,3.258
Veev Charging Station,11.3994,77.05649,2.356
Ather Grid Charging Station,11.16032,76.99935,3.56
Electric Vehicle Charging Station,11.08557,76.95745,3.45
Zeon charging ,11.17888,77.30829,3.65
Electric Vehicle Charging Station,11.03084,76.93842,4.56
Tata Power Station,10.16135,76.39435,4.5
Electric Vehicle Charging Station,10.10236,76.33442,4.23
Chalakudy,10.23446,76.41324,4.36
KSEB Charging Station,10.10738,76.437,4.356
